Epoch 205: LPIPS=0.4328, FID=104.1793, KID=0.03512
Epoch 210: LPIPS=0.4290, FID=102.4883, KID=0.03485
Epoch 215: LPIPS=0.4326, FID=101.0092, KID=0.03385
Epoch 220: LPIPS=0.4282, FID=102.0767, KID=0.03283
Epoch 225: LPIPS=0.4322, FID=102.1423, KID=0.03313
Epoch 230: LPIPS=0.4347, FID=94.9050, KID=0.02906
Epoch 235: LPIPS=0.4314, FID=96.2300, KID=0.02964
Epoch 240: LPIPS=0.4411, FID=94.3325, KID=0.02978
Epoch 245: LPIPS=0.4365, FID=96.3805, KID=0.02954
Epoch 250: LPIPS=0.4419, FID=94.2300, KID=0.03210
Epoch 255: LPIPS=0.4383, FID=103.1798, KID=0.03623
Epoch 260: LPIPS=0.4472, FID=97.1908, KID=0.03412
Epoch 265: LPIPS=0.4451, FID=100.3069, KID=0.03481
Epoch 270: LPIPS=0.4402, FID=98.5079, KID=0.03181
Epoch 275: LPIPS=0.4431, FID=92.6452, KID=0.02829
Epoch 280: LPIPS=0.4431, FID=96.1879, KID=0.03055
Epoch 285: LPIPS=0.4400, FID=91.4060, KID=0.02729
Epoch 290: LPIPS=0.4352, FID=92.0926, KID=0.03094
Epoch 295: LPIPS=0.4402, FID=95.3737, KID=0.02954
Epoch 300: LPIPS=0.4451, FID=97.0868, KID=0.03180
